Country/Area,Month (abbr),Year,Visitor Arrivals,Country/Area_jp
Afghanistan,Jan.,2017,233,アフガニスタン
Afghanistan,Feb.,2017,196,アフガニスタン
Afghanistan,Mar.,2017,192,アフガニスタン
Afghanistan,Apr.,2017,259,アフガニスタン
Afghanistan,May,2017,228,アフガニスタン
Afghanistan,Jun.,2017,123,アフガニスタン
Afghanistan,Jul.,2017,287,アフガニスタン
Afghanistan,Aug.,2017,226,アフガニスタン
Afghanistan,Sep.,2017,419,アフガニスタン
Afghanistan,Oct.,2017,299,アフガニスタン
Afghanistan,Nov.,2017,219,アフガニスタン
Afghanistan,Dec.,2017,208,アフガニスタン
Afghanistan,Jan.,2018,307,アフガニスタン
Afghanistan,Feb.,2018,128,アフガニスタン
Afghanistan,Mar.,2018,237,アフガニスタン
Afghanistan,Apr.,2018,240,アフガニスタン
Afghanistan,May,2018,212,アフガニスタン
Afghanistan,Jun.,2018,224,アフガニスタン
Afghanistan,Jul.,2018,296,アフガニスタン
Afghanistan,Aug.,2018,260,アフガニスタン
Afghanistan,Sep.,2018,393,アフガニスタン
Afghanistan,Oct.,2018,253,アフガニスタン
Afghanistan,Nov.,2018,267,アフガニスタン
Afghanistan,Dec.,2018,228,アフガニスタン
Afghanistan,Jan.,2019,263,アフガニスタン
Afghanistan,Feb.,2019,205,アフガニスタン
Afghanistan,Mar.,2019,245,アフガニスタン
Afghanistan,Apr.,2019,244,アフガニスタン
Afghanistan,May,2019,172,アフガニスタン
Afghanistan,Jun.,2019,249,アフガニスタン
Afghanistan,Jul.,2019,191,アフガニスタン
Afghanistan,Aug.,2019,322,アフガニスタン
Afghanistan,Sep.,2019,414,アフガニスタン
Afghanistan,Oct.,2019,328,アフガニスタン
Afghanistan,Nov.,2019,232,アフガニスタン
Afghanistan,Dec.,2019,204,アフガニスタン
Afghanistan,Jan.,2020,270,アフガニスタン
Afghanistan,Feb.,2020,285,アフガニスタン
Afghanistan,Mar.,2020,175,アフガニスタン
Afghanistan,Apr.,2020,5,アフガニスタン
Afghanistan,May,2020,0,アフガニスタン
Afghanistan,Jun.,2020,8,アフガニスタン
Afghanistan,Jul.,2020,37,アフガニスタン
Afghanistan,Aug.,2020,94,アフガニスタン
Afghanistan,Sep.,2020,75,アフガニスタン
Afghanistan,Oct.,2020,98,アフガニスタン
Afghanistan,Nov.,2020,174,アフガニスタン
Afghanistan,Dec.,2020,232,アフガニスタン
Afghanistan,Jan.,2021,132,アフガニスタン
Afghanistan,Feb.,2021,99,アフガニスタン
Afghanistan,Mar.,2021,94,アフガニスタン
Afghanistan,Apr.,2021,92,アフガニスタン
Afghanistan,May,2021,121,アフガニスタン
Afghanistan,Jun.,2021,84,アフガニスタン
Afghanistan,Jul.,2021,91,アフガニスタン
Afghanistan,Aug.,2021,84,アフガニスタン
Afghanistan,Sep.,2021,99,アフガニスタン
Afghanistan,Oct.,2021,385,アフガニスタン
Afghanistan,Nov.,2021,256,アフガニスタン
Afghanistan,Dec.,2021,186,アフガニスタン
Afghanistan,Jan.,2022,103,アフガニスタン
Afghanistan,Feb.,2022,175,アフガニスタン
Afghanistan,Mar.,2022,253,アフガニスタン
Afghanistan,Apr.,2022,304,アフガニスタン
Afghanistan,May,2022,301,アフガニスタン
Afghanistan,Jun.,2022,304,アフガニスタン
Afghanistan,Jul.,2022,236,アフガニスタン
Afghanistan,Aug.,2022,273,アフガニスタン
Afghanistan,Sep.,2022,428,アフガニスタン
Afghanistan,Oct.,2022,385,アフガニスタン
Afghanistan,Nov.,2022,215,アフガニスタン
Afghanistan,Dec.,2022,239,アフガニスタン
Afghanistan,Jan.,2023,264,アフガニスタン
Afghanistan,Feb.,2023,217,アフガニスタン
Afghanistan,Mar.,2023,204,アフガニスタン
Afghanistan,Apr.,2023,219,アフガニスタン
Afghanistan,May,2023,238,アフガニスタン
Afghanistan,Jun.,2023,215,アフガニスタン
Afghanistan,Jul.,2023,268,アフガニスタン
Afghanistan,Aug.,2023,404,アフガニスタン
Afghanistan,Sep.,2023,29,アフガニスタン
Afghanistan,Oct.,2023,29,アフガニスタン
Afghanistan,Nov.,2023,29,アフガニスタン
Afghanistan,Dec.,2023,29,アフガニスタン
Albania,Jan.,2017,15,アルバニア
Albania,Feb.,2017,18,アルバニア
Albania,Mar.,2017,26,アルバニア
Albania,Apr.,2017,30,アルバニア
Albania,May,2017,21,アルバニア
Albania,Jun.,2017,27,アルバニア
Albania,Jul.,2017,17,アルバニア
Albania,Aug.,2017,32,アルバニア
Albania,Sep.,2017,35,アルバニア
Albania,Oct.,2017,36,アルバニア
Albania,Nov.,2017,19,アルバニア
Albania,Dec.,2017,26,アルバニア
Albania,Jan.,2018,7,アルバニア
Albania,Feb.,2018,18,アルバニア
Albania,Mar.,2018,39,アルバニア
Albania,Apr.,2018,39,アルバニア
Albania,May,2018,25,アルバニア
Albania,Jun.,2018,39,アルバニア
Albania,Jul.,2018,18,アルバニア
Albania,Aug.,2018,27,アルバニア
Albania,Sep.,2018,37,アルバニア
Albania,Oct.,2018,34,アルバニア
Albania,Nov.,2018,32,アルバニア
Albania,Dec.,2018,31,アルバニア
Albania,Jan.,2019,19,アルバニア
Albania,Feb.,2019,16,アルバニア
Albania,Mar.,2019,38,アルバニア
Albania,Apr.,2019,42,アルバニア
Albania,May,2019,66,アルバニア
Albania,Jun.,2019,45,アルバニア
Albania,Jul.,2019,32,アルバニア
Albania,Aug.,2019,39,アルバニア
Albania,Sep.,2019,40,アルバニア
Albania,Oct.,2019,68,アルバニア
Albania,Nov.,2019,56,アルバニア
Albania,Dec.,2019,30,アルバニア
Albania,Jan.,2020,36,アルバニア
Albania,Feb.,2020,15,アルバニア
Albania,Mar.,2020,5,アルバニア
Albania,Apr.,2020,0,アルバニア
Albania,May,2020,0,アルバニア
Albania,Jun.,2020,0,アルバニア
Albania,Jul.,2020,0,アルバニア
Albania,Aug.,2020,2,アルバニア
Albania,Sep.,2020,2,アルバニア
Albania,Oct.,2020,6,アルバニア
Albania,Nov.,2020,5,アルバニア
Albania,Dec.,2020,2,アルバニア
Albania,Jan.,2021,2,アルバニア
Albania,Feb.,2021,2,アルバニア
Albania,Mar.,2021,0,アルバニア
Albania,Apr.,2021,1,アルバニア
Albania,May,2021,1,アルバニア
Albania,Jun.,2021,3,アルバニア
Albania,Jul.,2021,26,アルバニア
Albania,Aug.,2021,6,アルバニア
Albania,Sep.,2021,6,アルバニア
Albania,Oct.,2021,1,アルバニア
Albania,Nov.,2021,3,アルバニア
Albania,Dec.,2021,1,アルバニア
Albania,Jan.,2022,3,アルバニア
Albania,Feb.,2022,1,アルバニア
Albania,Mar.,2022,2,アルバニア
Albania,Apr.,2022,5,アルバニア
Albania,May,2022,1,アルバニア
Albania,Jun.,2022,0,アルバニア
Albania,Jul.,2022,9,アルバニア
Albania,Aug.,2022,6,アルバニア
Albania,Sep.,2022,7,アルバニア
Albania,Oct.,2022,12,アルバニア
Albania,Nov.,2022,13,アルバニア
Albania,Dec.,2022,21,アルバニア
Albania,Jan.,2023,12,アルバニア
Albania,Feb.,2023,41,アルバニア
Albania,Mar.,2023,55,アルバニア
Albania,Apr.,2023,37,アルバニア
Albania,May,2023,128,アルバニア
Albania,Jun.,2023,58,アルバニア
Albania,Jul.,2023,34,アルバニア
Albania,Aug.,2023,42,アルバニア
Albania,Sep.,2023,29,アルバニア
Albania,Oct.,2023,29,アルバニア
Albania,Nov.,2023,29,アルバニア
Albania,Dec.,2023,29,アルバニア
Algeria,Jan.,2017,74,アルジェリア
Algeria,Feb.,2017,61,アルジェリア
Algeria,Mar.,2017,63,アルジェリア
Algeria,Apr.,2017,93,アルジェリア
Algeria,May,2017,65,アルジェリア
Algeria,Jun.,2017,34,アルジェリア
Algeria,Jul.,2017,92,アルジェリア
Algeria,Aug.,2017,119,アルジェリア
Algeria,Sep.,2017,124,アルジェリア
Algeria,Oct.,2017,126,アルジェリア
Algeria,Nov.,2017,82,アルジェリア
Algeria,Dec.,2017,49,アルジェリア
Algeria,Jan.,2018,64,アルジェリア
Algeria,Feb.,2018,50,アルジェリア
Algeria,Mar.,2018,70,アルジェリア
Algeria,Apr.,2018,111,アルジェリア
Algeria,May,2018,59,アルジェリア
Algeria,Jun.,2018,69,アルジェリア
Algeria,Jul.,2018,92,アルジェリア
